@type,css-index
@name,CSS
@version,3.0
@categories,value atrule property function
@references,css21 css3counterstyles css3fonts css3units
@copyright,Copyright (C) 2013 Reece H. Dunn
@license,http://creativecommons.org/licenses/by-sa/2.0/uk/

# item,url,implemented,spec

[Specifications]

korean-hangul-formal,css3counterstyles.csv,no,Counter Styles Level 3
korean-hanja-formal,css3counterstyles.csv,no,Counter Styles Level 3
korean-hanja-informal,css3counterstyles.csv,no,Counter Styles Level 3
lower-alpha,css3counterstyles.csv,0.12,Counter Styles Level 3
lower-greek,css3counterstyles.csv,0.12,Counter Styles Level 3
lower-latin,css3counterstyles.csv,0.12,Counter Styles Level 3
lower-roman,css3counterstyles.csv,0.12,Counter Styles Level 3
simp-chinese-formal,css3counterstyles.csv,no,Counter Styles Level 3
simp-chinese-informal,css3counterstyles.csv,no,Counter Styles Level 3
square,css3counterstyles.csv,0.12,Counter Styles Level 3
trad-chinese-formal,css3counterstyles.csv,no,Counter Styles Level 3
trad-chinese-informal,css3counterstyles.csv,no,Counter Styles Level 3
upper-alpha,css3counterstyles.csv,0.12,Counter Styles Level 3
upper-latin,css3counterstyles.csv,0.12,Counter Styles Level 3
upper-roman,css3counterstyles.csv,0.12,Counter Styles Level 3

[Colors]

\#RGB,css21.csv,no,CSS Level 2 Revision 1
\#RRGGBB,css21.csv,no,CSS Level 2 Revision 1
aqua,css21.csv,no,CSS Level 2 Revision 1
black,css21.csv,no,CSS Level 2 Revision 1
blue,css21.csv,no,CSS Level 2 Revision 1
fuchsia,css21.csv,no,CSS Level 2 Revision 1
gray,css21.csv,no,CSS Level 2 Revision 1
green,css21.csv,no,CSS Level 2 Revision 1
lime,css21.csv,no,CSS Level 2 Revision 1
maroon,css21.csv,no,CSS Level 2 Revision 1
navy,css21.csv,no,CSS Level 2 Revision 1
olive,css21.csv,no,CSS Level 2 Revision 1
orange,css21.csv,no,CSS Level 2 Revision 1
purple,css21.csv,no,CSS Level 2 Revision 1
red,css21.csv,no,CSS Level 2 Revision 1
silver,css21.csv,no,CSS Level 2 Revision 1
teal,css21.csv,no,CSS Level 2 Revision 1
white,css21.csv,no,CSS Level 2 Revision 1
yellow,css21.csv,no,CSS Level 2 Revision 1
